Tangential Coordintae (mm)	Measured Slope (rad)
-18.4	-0.0003614290117110951
-18.2	-0.0003580760125589661
-18.	-0.00035476907707849236
-17.8	-0.0003515594232608154
-17.6	-0.0003482752141643539
-17.4	-0.0003450186656588008
-17.2	-0.00034185995839982697
-17.	-0.000338640393943771
-16.8	-0.0003354410655598668
-16.6	-0.0003321513695951432
-16.4	-0.0003288989590280923
-16.2	-0.0003256845786641554
-16.	-0.00032247948028335315
-15.8	-0.00031935454630529846
-15.6	-0.00031619239018825386
-15.4	-0.0003129506501010908
-15.2	-0.0003097288472369276
-15.	-0.0003065457561999936
-14.8	-0.0003033240605728038
-14.6	-0.0003000178947783693
-14.4	-0.0002966721332331951
-14.2	-0.00029343078736729703
-14.	-0.00029020765359530793
-13.8	-0.0002870140144148963
-13.6	-0.00028391318898881305
-13.4	-0.00028078120997618197
-13.2	-0.0002776702388321798
-13.	-0.0002746003500683599
-12.8	-0.00027145832343314027
-12.6	-0.0002682719151479201
-12.4	-0.0002650352781637009
-12.2	-0.0002617669631667019
-12.	-0.00025851726370232467
-11.8	-0.0002552196529564541
-11.6	-0.00025201127361344273
-11.4	-0.0002488653899478678
-11.2	-0.0002456473105020353
-11.	-0.00024249721170021863
-10.8	-0.00023945653148701898
-10.6	-0.00023641854171021432
-10.4	-0.00023330080120397128
-10.2	-0.00023005930846302914
-10.	-0.00022687562725279715
-9.8	-0.0002236806727806735
-9.6	-0.00022044368675158438
-9.4	-0.00021726181373938185
-9.2	-0.00021420919002971303
-9.	-0.00021104485569606603
-8.8	-0.00020784303470566104
-8.6	-0.0002048001279305606
-8.4	-0.00020165604741257976
-8.2	-0.00019851013889751553
-8.	-0.00019530874357892128
-7.8	-0.00019204894125375013
-7.6	-0.00018888990803791816
-7.4	-0.00018566372204198363
-7.2	-0.00018257332283431565
-7.	-0.00017954952427424211
-6.8	-0.00017640361395012799
-6.6	-0.00017324094991951025
-6.4	-0.0001702498055511561
-6.2	-0.00016722717914910778
-6.	-0.0001641804164442683
-5.8	-0.0001610661805673471
-5.6	-0.00015791752457355743
-5.4	-0.0001547728090604518
-5.2	-0.00015153255438487675
-5.	-0.00014829150659094345
-4.8	-0.0001451446000122576
-4.6	-0.0001420225720430516
-4.4	-0.00013889055282226411
-4.2	-0.00013583008326566864
-4.	-0.0001328682011340183
-3.8	-0.00012984467901723496
-3.6	-0.00012672552090101108
-3.4	-0.00012349744144438184
-3.2	-0.00012030970578418445
-3.	-0.00011718133945142217
-2.8	-0.00011406816953987188
-2.6	-0.00011101171810962204
-2.4	-0.00010793291761934175
-2.2	-0.00010483854785657174
-2.	-0.00010180798567099256
-1.8	-0.00009881972855003886
-1.6	-0.00009580339522659043
-1.4	-0.000092743990130123
-1.2	-0.00008967716626641198
-1.	-0.00008662794323096249
-0.8	-0.00008356214456611677
-0.6	-0.00008043475904703522
-0.4	-0.00007744174357357559
-0.2	-0.00007443769867820899
0	-0.00007130954544943942
0.2	-0.00006818522571951174
0.4	-0.00006513354044434539
0.6	-0.00006205372066951293
0.8	-0.00005896227243618694
1.	-0.000055836070651260225
1.2	-0.00005266082825076875
1.4	-0.00004962570526287215
1.6	-0.00004653778074599212
1.8	-0.00004347142398380538
2.	-0.00004047254703415227
2.2	-0.000037411189227374856
2.4	-0.00003434419500890582
2.6	-0.000031341633748929566
2.8	-0.000028357327807353974
3.	-0.000025346014627061102
3.2	-0.00002232079525495063
3.4	-0.00001925304579411448
3.6	-0.000016183932640386416
3.8	-0.00001314271333577996
4.	-0.000010103318066101893
4.2	-7.093328455777488e-6
4.4	-4.098968552619837e-6
4.6	-1.0785538980018177e-6
4.8	1.890606834578159e-6
5.	4.874766965579704e-6
5.2	7.83325526598481e-6
5.4	0.000010836605326655899
5.6	0.000013894631724406472
5.8	0.000016980466202330453
6.	0.000019981523341684127
6.2	0.000023064153068774955
6.4	0.000026131675405670764
6.6	0.000029093150616575534
6.8	0.00003216352644813156
7.	0.00003521348410885925
7.2	0.000038149065713123924
7.4	0.00004109082070809456
7.6	0.00004406562352559637
7.8	0.00004707903099098402
8.	0.000050105269764362774
8.2	0.000053100860925723374
8.4	0.000056046241629592506
8.6	0.00005907088507061311
8.8	0.00006201955854672239
9.	0.00006495196285150309
9.2	0.00006801585521558432
9.4	0.00007106481325584649
9.6	0.00007399379186509754
9.8	0.00007695329396430566
10.	0.0000799462759180219
10.2	0.00008298385488074558
10.4	0.00008600169185963613
10.6	0.00008896982393086607
10.8	0.00009196560078715798
11.	0.00009494888063554913
11.2	0.00009782304566836499
11.4	0.00010072813763588006
11.6	0.00010371315140388041
11.8	0.00010662138342248839
12.	0.00010949642703604481
12.2	0.00011240701372450604
12.4	0.0001153966756311417
12.6	0.00011840325738851249
12.8	0.00012136860681338018
13.	0.00012431715078835246
13.2	0.00012732535458579737
13.4	0.00013031052980687347
13.6	0.0001332454939286447
13.8	0.00013622652042185967
14.	0.00013929208969276893
14.2	0.00014228271621896164
14.4	0.00014515576004424973
14.6	0.0001480062725671446
14.8	0.00015086023193920079
15.	0.00015379131250761933
15.2	0.00015670063078334853
15.4	0.00015959126041462275
15.6	0.00016253377448108137
15.8	0.00016543573559168228
16.	0.00016833542096293861
16.2	0.00017133547519891494
16.4	0.00017436038390917003
16.6	0.00017726953391888962
16.8	0.00018015220821054236
17.	0.00018304904088138865
17.2	0.0001859800336592961
17.4	0.00018895968684481387
17.6	0.00019188066497273523
17.8	0.00019480041108651213
18.	0.00019774570808427908
18.2	0.00020064767354956007
18.4	0.0002035307311925331
18.6	0.00020645127229144858
18.8	0.0002093488070163196
19.	0.0002121886058274293
19.2	0.00021497898882683885
19.4	0.00021783056816211633
19.6	0.00022075195499416276
19.8	0.00022372841543704788
20.	0.00022665963657591092
20.2	0.00022955201846114993
20.4	0.00023252343237531854
20.6	0.00023539381212413422
20.8	0.00023818161894781053
21.	0.00024104107586016548
21.2	0.0002439292250863808
21.4	0.00024679729604386454
21.6	0.0002496203248627462
21.8	0.00025248068555933
22.	0.000255367686402578
22.2	0.00025836142068337526
22.4	0.0002613171816293614
22.6	0.000264209415286377
22.8	0.0002671165336184892
23.	0.00026998187178597243
23.2	0.0002727938874522911
23.4	0.0002756328035680974
23.6	0.0002784981257632358
23.8	0.00028127379640875504
24.	0.00028408346482528733
24.2	0.00028687290236084444
24.4	0.00028967126280412305
24.6	0.0002925388279948092
24.8	0.00029546485917294644
25.	0.0002982893855569293
25.2	0.00030113290296351685
25.4	0.00030401318111739
25.6	0.00030686142095149205
25.8	0.0003097245440530501
26.	0.0003126105269864666
26.2	0.0003154898812628129
26.4	0.0003183152584562611
26.6	0.0003211535533055378
26.8	0.00032397505722421414
27.	0.00032689719290582276
27.2	0.00032974124909860414
27.4	0.0003325104626419061
27.6	0.0003353843654930762
27.8	0.00033821751525620194
28.	0.0003409725557069436
28.2	0.00034374597751846234
28.4	0.0003465524164338281
28.6	0.00034939561110306725
28.8	0.00035217266761405176
29.	0.00035494523708011006
29.2	0.00035771406386583365
29.4	0.0003605489515801682
29.6	0.0003634525558441919
29.8	0.00036631649684515984
30.	0.00036918023609281407
30.2	0.0003720666352513028
30.4	0.0003749071540332126
30.6	0.00037770261392267875
30.8	0.0003805305693798379
31.	0.00038335609301480496
31.2	0.0003860921655176744
31.4	0.00038882226612794264
31.6	0.0003915697852047257
31.8	0.00039430994579095415
32.	0.00039714650532439357
32.2	0.00039996392347733413
32.4	0.00040267457314962704
32.6	0.0004054749436548049
32.8	0.0004082986697090228
33.	0.0004110710204827744
33.2	0.00041386655727275717
33.4	0.0004166976084240633
33.6	0.0004194423058637651
33.8	0.0004221705515959792
34.	0.0004249383178728795
34.2	0.00042770145963226324
34.4	0.00043054917016553267
34.6	0.0004334332552230702
34.8	0.00043627711238647014
35.	0.00043906129390680143
35.2	0.0004418095986092624
35.4	0.0004445328026881837
35.6	0.0004472315241666886
35.8	0.00044997351161424164
36.	0.0004526733557050857
36.2	0.0004553785363966166
36.4	0.00045810920363304066
36.6	0.0004608200545964474
36.8	0.0004635837409702085
37.	0.0004664133039003447
37.2	0.0004691858555469263
37.4	0.000471876171154632
37.6	0.00047463723854075353
37.8	0.00047744782453560037
38.	0.000480157363266185
38.2	0.0004828991668914226
38.4	0.0004857069136455257
38.6	0.000488459178305412
38.8	0.0004912202557777922
39.	0.0004939753431755387
39.2	0.0004967290962364042
39.4	0.0004995211186322714
39.6	0.0005022830776127604
39.8	0.0005049950829921736
40.	0.0005076881998401307
40.2	0.0005104622083140161
40.4	0.0005131724676346229
40.6	0.0005158232764592104
40.8	0.0005185148639169394
41.	0.0005212440816315278
41.2	0.0005239244605006263
41.4	0.0005265457222988005
41.6	0.0005292453320688045
41.8	0.0005319936673357041
42.	0.0005348060148167656
42.2	0.0005376234261170712
42.4	0.0005403688940642999
42.6	0.0005430926155102169
42.8	0.0005458310333473353
43.	0.0005485067552837107
43.2	0.0005511453691126863
43.4	0.0005538186122276878
43.6	0.0005564477482538076
43.8	0.0005591164090471843
44.	0.0005617603102984071
44.2	0.0005644164397095573
44.4	0.0005671056107200562
44.6	0.0005698389871470769
44.8	0.0005726114604078967
45.	0.0005753206556293439
45.2	0.0005780399628377106
45.4	0.000580758671536178
